#ZVView-data-copy:  27-Nov-2023 14:53:58
#=======================================
#
"#name:   ENDF/B-VIII.0: TM-171(N,G)TM-172"
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  20131
#data...
#            X            Y
#          MeV        barns
    5.75503e-5      4.76281 
    5.78537e-5       5.0901 
    5.80559e-5      5.33567 
    5.82596e-5      5.60817 
    5.84648e-5      5.91139 
    5.86699e-5      6.24777 
     5.8875e-5       6.6224 
    5.90816e-5      7.04459 
    5.92896e-5      7.52302 
    5.94456e-5      7.92261 
    5.96016e-5      8.36247 
    5.97576e-5      8.84836 
    5.99151e-5      9.39244 
    6.00733e-5      10.0018 
    6.02315e-5      10.6843 
    6.03897e-5      11.4523 
    6.04952e-5      12.0187 
    6.06007e-5      12.6344 
    6.07384e-5      13.5234 
    6.08658e-5       14.447 
    6.09932e-5       15.484 
    6.11206e-5      16.6534 
    6.12055e-5      17.5181 
